symbol,exchange,name
014620,KRX,성광벤드
014680,KRX,한솔케미칼
014710,KRX,사조씨푸드
014790,KRX,HL D&I
014820,KRX,동원시스템즈
014825,KRX,동원시스템즈우
014830,KRX,유니드
014910,KRX,성문전자
014915,KRX,성문전자우
014940,KRX,오리엔탈정공
014970,KRX,삼륭물산
014990,KRX,인디에프
015020,KRX,이스타코
015230,KRX,대창단조
015260,KRX,에이엔피
015360,KRX,INVENI
015590,KRX,DKME
015710,KRX,코콤
015750,KRX,성우하이텍
015760,KRX,한국전력
015860,KRX,일진홀딩스
015890,KRX,태경산업
016090,KRX,대현
016100,KRX,리더스코스메틱
016250,KRX,SGC E&C
016360,KRX,삼성증권
016380,KRX,KG스틸
016450,KRX,한세예스24홀딩스
016580,KRX,환인제약
016590,KRX,신대양제지
016600,KRX,큐캐피탈
016610,KRX,DB증권
016670,KRX,디모아
016710,KRX,대성홀딩스
016740,KRX,두올
016790,KRX,현대사료
016800,KRX,퍼시스
016880,KRX,웅진
016920,KRX,카스
017000,KRX,신원종합개발
017040,KRX,광명전기
017180,KRX,명문제약
017250,KRX,인터엠
017370,KRX,우신시스템
017390,KRX,서울가스
017480,KRX,삼현철강
017510,KRX,세명전기
017550,KRX,수산세보틱스
017650,KRX,대림제지
017670,KRX,SK텔레콤
017800,KRX,현대엘리베이터
017810,KRX,풀무원
017860,KRX,DS단석
017890,KRX,한국알콜
017900,KRX,광전자
017940,KRX,E1
017960,KRX,한국카본
018000,KRX,유니슨
018120,KRX,진로발효
018250,KRX,애경산업
018260,KRX,삼성에스디에스
018290,KRX,브이티
018310,KRX,삼목에스폼
018470,KRX,조일알미늄
018500,KRX,동원금속
018620,KRX,우진비앤지
018670,KRX,SK가스
018680,KRX,서울제약
018700,KRX,바른손
018880,KRX,한온시스템
019010,KRX,베뉴지
019170,KRX,신풍제약
019175,KRX,신풍제약우
019180,KRX,티에이치엔
019210,KRX,와이지-원
019440,KRX,세아특수강
019490,KRX,엑시큐어하이트론
019540,KRX,일지테크
019550,KRX,SBI인베스트먼트
019570,KRX,플루토스
019660,KRX,글로본
019680,KRX,대교
019685,KRX,대교우B
019770,KRX,서연탑메탈
019990,KRX,에너토크
020000,KRX,한섬
020120,KRX,키다리스튜디오
020150,KRX,롯데에너지머티리얼즈
020180,KRX,대신정보통신
020400,KRX,대동금속
020560,KRX,아시아나항공
020710,KRX,시공테크
020760,KRX,일진디스플
021040,KRX,대호특수강
021045,KRX,대호특수강우
021050,KRX,서원
021080,KRX,에이티넘인베스트
021240,KRX,코웨이
021320,KRX,KCC건설
021650,KRX,한국큐빅
021820,KRX,세원정공
021880,KRX,메이슨캐피탈
022100,KRX,포스코DX
022220,KRX,티케이지애강
023000,KRX,삼원강재
023150,KRX,MH에탄올
023160,KRX,태광
023350,KRX,한국종합기술
023410,KRX,유진기업
